datetime,lat,lng,intensity,wind,minimum central pressure,type
19/6/2026 08:00,12.9,143.3,TD,55,1004,past
19/6/2026 11:00,13.0,142.6,TD,55,1004,past
19/6/2026 14:00,13.0,141.8,TD,55,1004,past
19/6/2026 17:00,13.5,140.8,TD,55,1004,past
19/6/2026 20:00,13.2,140.4,TD,55,1002,past
19/6/2026 23:00,13.6,139.5,TS,65,998,past
20/6/2026 02:00,14.0,138.8,TS,65,998,past
20/6/2026 05:00,14.1,138.2,TS,75,995,past
20/6/2026 08:00,14.4,137.7,TS,75,995,past
20/6/2026 11:00,14.6,137.1,TS,75,995,past
20/6/2026 14:00,14.6,136.5,TS,75,995,current
