datetime,lat,lng,intensity,wind,minimum central pressure,type
22/6/2026 11:00,14.5,149.7,TD,45,1002,past
22/6/2026 14:00,14.5,147.7,TD,45,1002,past
22/6/2026 17:00,14.6,147.6,TD,45,1002,past
22/6/2026 20:00,14.6,147.6,TD,45,1002,past
22/6/2026 23:00,14.6,147.5,TD,45,1002,past
23/6/2026 02:00,15.1,147.0,TD,55,1000,past
23/6/2026 05:00,14.9,146.2,TD,55,1000,past
23/6/2026 08:00,15.4,145.9,TS,65,998,past
23/6/2026 11:00,15.4,145.3,TS,65,998,past
23/6/2026 14:00,15.4,144.9,TS,65,998,past
23/6/2026 17:00,15.4,144.6,TS,65,998,past
23/6/2026 20:00,15.7,144.1,TS,65,998,past
23/6/2026 23:00,15.4,144.0,TD,55,1000,past
24/6/2026 02:00,15.7,143.6,TD,55,1000,past
24/6/2026 05:00,15.7,142.4,TD,55,1000,past
24/6/2026 08:00,15.7,141.9,TD,55,1000,past
24/6/2026 11:00,15.9,141.5,TD,55,1000,past
24/6/2026 14:00,15.9,140.5,TD,55,1000,past
24/6/2026 17:00,15.9,140.0,TD,55,1000,past
24/6/2026 20:00,16.3,139.5,TS,65,998,past
24/6/2026 23:00,16.5,139.0,TS,65,998,past
25/6/2026 02:00,17.2,137.9,TS,65,998,past
25/6/2026 05:00,17.3,137.7,TS,65,998,past
25/6/2026 08:00,17.4,137.0,TS,65,998,past
25/6/2026 11:00,17.9,136.5,TS,75,995,past
25/6/2026 14:00,19.4,135.3,TS,75,995,past
25/6/2026 17:00,19.8,135.0,TS,75,995,past
25/6/2026 20:00,20.6,134.5,TS,75,995,past
25/6/2026 23:00,21.7,134.2,TS,75,995,past
26/6/2026 02:00,22.8,134.0,TS,75,995,past
26/6/2026 05:00,23.1,133.8,TS,85,990,past
26/6/2026 08:00,23.4,133.5,TS,85,990,past
26/6/2026 11:00,24.8,133.7,TS,85,990,past
26/6/2026 14:00,27.6,134.3,TS,85,990,past
26/6/2026 17:00,29.1,134.4,TS,85,990,past
26/6/2026 20:00,30.3,135.2,TS,85,990,past
26/6/2026 23:00,31.1,136.0,TS,85,990,past
27/6/2026 02:00,32.1,137.2,TS,85,990,past
27/6/2026 05:00,33.9,138.9,TS,85,990,past
27/6/2026 08:00,37.0,143.0,EX,0,995,current
